ad,marka,fiyat,indirimli_fiyat,indirim_orani,url,kategori,site,zaman
Kadın camel bağcıklı kalın tabanlı tüylü süet deri teddy sneaker,Derimod,7249.99,4349.99,40.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-tuylu-suet-deri-teddy-sneaker-25wfd492010-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı süet deri sneaker,Derimod,5499.99,4399.99,20.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-suet-deri-sneaker-26pfd371210-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın kahverengi fermuarlı dolgu topuklu kumaş sneaker,Derimod,5999.99,,0.0,https://derimod.com.tr/products/derimod-zero-kadin-vizon-fermuarli-dolgu-topuklu-kumas-sneaker-26pfd43166f-5637145755,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın vizon fermuarlı dolgu topuklu kumaş sneaker,Derimod,5999.99,,0.0,https://derimod.com.tr/products/derimod-zero-kadin-kahverengi-fermuarli-dolgu-topuklu-kumas-sneaker-26pfd43166f-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı süet deri sneaker,Derimod,3249.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-suet-deri-sneaker-26pfd410914-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı süet deri sneaker,Derimod,4749.99,3799.99,20.0,https://derimod.com.tr/products/kadin-taba-bagcikli-suet-deri-sneaker-26pfd420410-5637145847,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı sneaker,Derimod,4499.99,,0.0,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-sneaker-26pfe457314-5637145326,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın yeşil bağcıklı deri sneaker,Derimod,5499.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-deri-sneaker-26pfd431214-5637145422,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Derimod zero kadın kahverengi bağcıklı kalın tabanlı taşlı kumaş sneaker,Derimod,5499.99,,0.0,https://derimod.com.tr/products/derimod-zero-kadin-beyaz-bagcikli-kalin-tabanli-tasli-kumas-sneaker-26pfd43156f-5637145326,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın lacivert kalın tabanlı sneaker,Derimod,4499.99,,0.0,https://derimod.com.tr/products/kadin-bej-kalin-tabanli-sneaker-26pfe457814-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı kalın tabanlı süet sneaker,Derimod,3499.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-bagcikli-kalin-tabanli-suet-sneaker-26pfe145210-5637145360,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı charmlı sneaker,Derimod,5999.99,,0.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-charmli-sneaker-26pfe496114-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej kalın tabanlı sneaker,Derimod,6999.99,,0.0,https://derimod.com.tr/products/kadin-kahverengi-kalin-tabanli-sneaker-26pfe496314-5637343328,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın beyaz bağcıklı kalın tabanlı deri sneaker,Derimod,4999.99,3999.99,20.0,https://derimod.com.tr/products/kadin-beyaz-bagcikli-kalin-tabanli-deri-sneaker-26pfd510314-5637145326,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah on - the - go flex - clover comfort sneaker,Derimod,3999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-on-the-go-flex-clover-comfort-sneaker-138182-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah street twisterz - lighten up kalın tabanlı sneaker,Derimod,4299.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-street-twisterz-lighten-up-kalin-tabanli-sneaker-177402-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz bobs b love - true delight bağcıklı kalın tabanlı kumaş sneaker,Derimod,4899.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-bobs-b-love-true-delight-bagcikli-kalin-tabanli-kumas-sneaker-117617-wht,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah fine shine kalın tabanlı sneaker,Derimod,4999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-fine-shine-kalin-tabanli-sneaker-177345-blk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah d'lux comfort - surreal kumaş sneaker,Derimod,3999.0,2999.25,25.0,https://derimod.com.tr/products/skechers-kadin-siyah-dlux-comfort-surreal-kumas-sneaker-104347-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın bej spherica plus bağcıklı kalın tabanlı kumaş sneaker,Derimod,6999.99,4699.99,32.9,https://derimod.com.tr/products/geox-kadin-bej-spherica-plus-bagcikli-kalin-tabanli-kumas-sneaker-d557ma06kbnch62l,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın çok renkli d amabel a - nappa + suede bağcıklı deri sneaker,Derimod,7999.99,5099.99,36.3,https://derimod.com.tr/products/geox-kadin-cok-renkli-d-amabel-a-nappa-suede-bagcikli-deri-sneaker-d45mda08522c1zj8-5637327576,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah hazel - faye kalın tabanlı sneaker,Derimod,5399.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-hazel-faye-kalin-tabanli-sneaker-177576-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın beyaz bobs b flex - fan fav kalın tabanlı kumaş sneaker,Derimod,3999.0,,0.0,https://derimod.com.tr/products/skechers-kadin-beyaz-bobs-b-flex-fan-fav-kalin-tabanli-kumas-sneaker-117502-ofwt,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın beyaz spherica ec4.1 deri bağcıklı sneaker,Derimod,8499.99,5899.99,30.6,https://derimod.com.tr/products/geox-kadin-beyaz-spherica-ec41-deri-bagcikli-sneaker-d35tcb085y2c0232,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın bej glide step gratify bağcıklı kumaş sneaker,Derimod,5699.0,,0.0,https://derimod.com.tr/products/skechers-kadin-bej-glide-step-gratify-bagcikli-kumas-sneaker-104610-ntgd,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Geox kadın gri spherica ec4.1 bağcıklı deri sneaker,Derimod,8499.99,5999.99,29.4,https://derimod.com.tr/products/geox-kadin-gri-spherica-ec41-bagcikli-deri-sneaker-d45tcc0bvbcc2x1r,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Skechers kadın siyah squad air spor sneaker,Derimod,4499.0,,0.0,https://derimod.com.tr/products/skechers-kadin-siyah-squad-air-spor-sneaker-117378-bbk,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın bej bağcıklı kalın tabanlı süet deri sneaker,Derimod,4999.99,3199.99,36.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-suet-deri-sneaker-25sfd371510,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Acbc x deri̇mod kadın bej bağcıklı kalın tabanlı kumaş sneaker,Derimod,5499.99,2699.99,50.9,https://derimod.com.tr/products/acbc-x-derimod-kadin-beyaz-bagcikli-kalin-tabanli-kumas-sneaker-25sfd43556f,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
Kadın siyah bağcıklı kalın tabanlı deri sneaker,Derimod,5999.99,2999.99,50.0,https://derimod.com.tr/products/kadin-bej-bagcikli-kalin-tabanli-deri-sneaker-25afd370614-5637145330,Kadın Spor Ayakkabı,Derimod,2026-04-28T01:25:37
